Date,Price,Open,High,Low,Vol.,Change %
04/30/2025,"3,305.00","3,318.70","3,318.70","3,268.00",0.21K,-0.42%
04/29/2025,"3,318.80","3,340.00","3,340.00","3,299.90",1.28K,-0.41%
04/28/2025,"3,332.50","3,284.50","3,332.50","3,284.50",1.30K,1.53%
04/25/2025,"3,282.40","3,355.50","3,355.50","3,266.10",0.16K,-1.49%
04/24/2025,"3,332.00","3,305.40","3,353.90","3,304.90",0.56K,1.70%
04/23/2025,"3,276.30","3,321.20","3,370.30","3,256.20",0.33K,-3.66%
04/22/2025,"3,400.80","3,422.20","3,485.60","3,361.70",0.79K,-0.16%
04/21/2025,"3,406.20","3,342.20","3,418.50","3,342.20",0.08K,2.95%
04/17/2025,"3,308.70","3,345.00","3,345.00","3,287.80",0.82K,-0.54%
04/16/2025,"3,326.60","3,238.30","3,334.90","3,238.30",1.87K,3.35%
04/15/2025,"3,218.70","3,216.00","3,218.70","3,214.00",0.39K,0.43%
04/14/2025,"3,204.80","3,215.50","3,228.80","3,194.50",0.26K,-0.54%
04/11/2025,"3,222.20","3,182.10","3,235.00","3,182.10",0.86K,2.12%
04/10/2025,"3,155.20","3,073.90","3,167.00","3,072.10",3.46K,3.23%
04/09/2025,"3,056.50","2,965.80","3,090.40","2,965.80",2.17K,2.97%
04/08/2025,"2,968.40","2,994.00","3,014.50","2,968.40",3.21K,0.58%
04/07/2025,"2,951.30","3,016.40","3,050.80","2,949.70",4.42K,-2.02%
04/04/2025,"3,012.00","3,110.50","3,127.70","3,011.00",3.25K,-2.74%
04/03/2025,"3,097.00","3,150.00","3,166.90","3,052.00",5.52K,-1.37%
04/02/2025,"3,139.90","3,120.70","3,168.60","3,117.40",5.95K,0.67%
04/01/2025,"3,118.90","3,129.70","3,149.50","3,104.00",1.72K,-0.12%
03/31/2025,"3,122.80","3,091.00","3,132.50","3,086.00",3.44K,1.18%
03/28/2025,"3,086.50","3,069.70","3,094.90","3,066.80",31.21K,0.86%
03/27/2025,"3,060.20","3,025.50","3,065.00","3,025.50",124.36K,1.30%
03/26/2025,"3,020.90","3,033.20","3,033.20","3,019.50",0.08K,-0.09%
03/25/2025,"3,023.70","3,026.40","3,028.80","3,023.70",0.07K,0.35%
03/24/2025,"3,013.10","3,024.30","3,024.30","3,006.00",0.14K,-0.17%
03/21/2025,"3,018.20","3,034.50","3,037.50","3,000.90",0.15K,-0.72%
03/20/2025,"3,040.00","3,047.30","3,047.30","3,034.40",0.18K,0.14%
03/19/2025,"3,035.90","3,035.20","3,050.90","3,030.90",0.17K,0.03%
03/18/2025,"3,035.10","3,006.40","3,039.20","3,004.40",0.43K,1.17%
03/17/2025,"3,000.00","2,991.00","3,001.50","2,989.00",0.21K,0.18%
03/14/2025,"2,994.50","2,994.40","3,004.80","2,986.00",1.80K,0.34%
03/13/2025,"2,984.30","2,937.10","2,988.00","2,935.20",2.37K,1.54%
03/12/2025,"2,939.10","2,912.00","2,939.10","2,910.00",0.21K,0.90%
03/11/2025,"2,912.90","2,884.40","2,916.70","2,880.40",0.20K,0.76%
03/10/2025,"2,891.00","2,910.10","2,915.10","2,880.20",0.06K,-0.47%
03/07/2025,"2,904.70","2,900.90","2,927.30","2,900.50",0.53K,-0.41%
